id,url,channelName,channelUrl,categoryId,categoryName,title,description,thumbnailUrl,tags,durationString,durationSeconds,viewsCount,likesCount,dislikesCount,favouritesCount,commentsCount,engagementsCount,engagementRate,video_id
f-d-qPmmEl0,https://www.youtube.com/watch?v=f-d-qPmmEl0,BlackRock,https://www.youtube.com/channel/UC61MWzrpcsazp23LOxCsTcg,27,Education,A conversation with Larry Fink: A fundamental reshaping of finance,"Larry Fink, Chairman and CEO of BlackRock, reflects on the impact of his recent letter on #sustainability, what he’s been hearing from institutions since and what comes next for sustainability in light of the current crisis. | https://www.blackrock.com/corporate/sustainability/committed-to-sustainability |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1238181",https://i.ytimg.com/vi/f-d-qPmmEl0/maxresdefault.jpg,"Financial Wellbeing,Economic Outlook,BlackRock,BlackRock Bottom Line,Investing in your financial wellbeing,BlackRock Bulletin,Investment Outlook,Larry Fink,BlackRock Investment Institute,BlackRock Investment Outlook,BlackRock Investment Strategists,BlackRock Weekly Commentary,BlackRock CEO,Sustainability Summit,Larry Fink Letter to CEOs,Letter to CEOs,Bloomberg,Francine Lacqua,Leaders with Lacqua",00:30:31,1831,2054,0,0,0,0,0,0.0,26
Ex41SlPPVms,https://www.youtube.com/watch?v=Ex41SlPPVms,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,27,Education,SIBOS 2019 London | Hx The Human Experience,"Tech is an enabler, the Human Factor is the Differentiator.  | Alexis Meissner speaks at Sibos 2019 on the Human Experience (Hx) in client relationship management, where focus on the client’s needs and open and honest conversations are key in developing long-term client relationships. |  | Subscribe to HSBC YouTube channel here ➤ http://grp.hsbc/subscribe |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc",https://i.ytimg.com/vi/Ex41SlPPVms/maxresdefault.jpg,"HSBC,SIBOS 2019,Human Experience,Alexis Meissner,HSBC Technology,Human Factor",00:17:42,1062,1316,0,0,0,0,0,0.0,58
gW1TTLuquuw,https://www.youtube.com/watch?v=gW1TTLuquuw,Fidelity Investments,https://www.youtube.com/channel/UCwp9GbPASoPs6BIxVWm_-2A,26,Howto & Style,Fresh Invest - Ep. 3: Trading in a Post Election Market  | Fidelity,"The results are in, and with them comes a deluge of information and market volatility.  How should you financially prepare post-election? |  |  |  |  | Fidelity Brokerage Services LLC, Member NYSE, SIPC, 900 Salem Street, Smithfield, RI 02917 |  | 954675.2.0",https://i.ytimg.com/vi/gW1TTLuquuw/default.jpg,"fidelity investments,fresh invest,morning brew,young investors,trading post-election market,market volatility",00:17:20,1040,92,1,3,0,0,4,0.043478261,60
NrKJkWOrciw,https://www.youtube.com/watch?v=NrKJkWOrciw,Nomura,https://www.youtube.com/channel/UC34CVg2p8fZ-gYySyRgJsSg,22,People & Blogs,Global economic outlook 2020: On shaky foundations,"Global growth appears set to bottom out. However, we expect 2020 to be a year of global growth consolidation than a full-fledged recovery.",https://i.ytimg.com/vi/NrKJkWOrciw/maxresdefault.jpg,"economica,global markets,investment bank,investment banking,ASEAN,china,India,Europe,Americas,outlook,2020",00:17:17,1037,392,0,0,0,0,0,0.0,61
eIG6yixNUDg,https://www.youtube.com/watch?v=eIG6yixNUDg,Fidelity Investments,https://www.youtube.com/channel/UCwp9GbPASoPs6BIxVWm_-2A,26,Howto & Style,Fresh Invest - Ep. 5: Shopping in a New Winter Wonderland | Fidelity,"The rise of e-commerce this holiday season may have bigger implications beyond where you find yourself on Black Friday. |  |  |  | Fidelity Brokerage Services LLC, Member NYSE, SIPC, 900 Salem Street, Smithfield, RI 02917 |  | 951871.2.0",https://i.ytimg.com/vi/eIG6yixNUDg/default.jpg,,00:14:11,851,63,2,0,0,0,2,0.031746032,75
_HaSVQSRwVI,https://www.youtube.com/watch?v=_HaSVQSRwVI,Nomura,https://www.youtube.com/channel/UC34CVg2p8fZ-gYySyRgJsSg,22,People & Blogs,Asia Top Ideas Breakfast Series - March 2019,"On March 8, 2019, some of our top alpha generating analysts came together to share their latest views for the coming 2Q19 quarter in different industries including, energy, transportation, gaming and technology, to name a few.",https://i.ytimg.com/vi/_HaSVQSRwVI/maxresdefault.jpg,"nomura,asia,economics,emerging markets,2019,research,technology",00:13:03,783,210,0,0,0,0,0,0.0,80
IpoNLcMo130,https://www.youtube.com/watch?v=IpoNLcMo130,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,10,Music,The Sound of HSBC | Jean-Michel Jarre's 'Mindfulness' edit,"The Mindfulness edit of ''Together We Thrive'' the musical piece composed by Jean-Michel Jarre to create the sound of HSBC.  |  | Watch Jean-Michel Jarre behind the scenes in his studio, where he discusses the musical ecosystem he created for HSBC's first identity and how the tracks express HSBC's vision and spirit of community: https://youtu.be/FkDLGZRMTrI |  | #JeanMichelJarre #SoundDesign #Mindfulness #HSBC #TogetherWeThrive #Prosperity #Community |  | Subscribe to HSBC YouTube channel here ➤ http://grp.hsbc/subscribe |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc",https://i.ytimg.com/vi/IpoNLcMo130/maxresdefault.jpg,"HSBC,Sound of HSBC,Jean-Michel Jarre,Mindfulness,Together We Thrive,jean michel-jarre,jean michel jarre,jean michel jarre interview,electronic music,music producer,interview,behind the scenes,bts,sound design,sound experience,sound,sound art,hsbc,hsbc sound,prosperity,community,mindfulness,mindfulness meditation,mindfulness music,mindfulness audio",00:12:36,756,47533,0,0,0,44,44,0.000925673,85
MLGCHY35IqA,https://www.youtube.com/watch?v=MLGCHY35IqA,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,27,Education,The Open for the Ages Day 2 Highlights,"Catch up on all the action from day two of The Open for The Ages.  |  | Follow the link to sign up for the Open for The Ages Facebook livestream where the best of the best will battle it out on the Old Course: https://bit.ly/3j8bTSj |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC",https://i.ytimg.com/vi/MLGCHY35IqA/default.jpg,"hsbc,hsbc global",00:09:57,597,1527,0,0,0,0,0,0.0,105
MjAblRlVIV4,https://www.youtube.com/watch?v=MjAblRlVIV4,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,28,Science & Technology,HSBC Technology India | Telling the industry how we accelerated digital through the pandemic,"HSBC Technology India was a key sponsor at the 29th edition of NASSCOM Technology & Leadership Forum (NTLF) – a platform that has been the voice of India’s 190-billion-dollar IT industry. The event, attended by industry leaders across the globe including the Indian Prime Minister, provided us a great opportunity to narrate HSBC’s experience of navigating the pandemic and delivering business outcomes driven by technology innovations and new ways of working. |  | #ntlf2021, #HSBCTechnologyIndia #HTI #ProudToBeHSBC |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC",https://i.ytimg.com/vi/MjAblRlVIV4/default.jpg,"hsbc,hsbc global,HSBC Technology India,HTI,HSBC Technology,Proud to be HSBC,India,NASSCOM,NTLF 2021",00:07:46,466,2085,0,0,0,0,0,0.0,131
XLKCBTYv79U,https://www.youtube.com/watch?v=XLKCBTYv79U,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,27,Education,HSBC Sport | The Making of The Open For The Ages,"Looking back at the the ground breaking The Open For The Ages which featured the best golfers from different eras competing against each other. |  | We can now show it was all made possible. |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC",https://i.ytimg.com/vi/XLKCBTYv79U/default.jpg,"hsbc,hsbc global",00:06:06,366,1237,0,0,0,0,0,0.0,146
